COUNTY,CITY,COMPANY,ADDRESS,PHONE,SPACES,FULL_ADDRESS
Los Angeles,Castaic,Giant Truck Stop,31642 Castaic Rd,805-524-3737 x17,55,"31642 Castaic Rd, Castaic, CA"
Los Angeles,Castaic,Castaic Truck Stop,31611 Castaic Rd,661-295-1374,25,"31611 Castaic Rd, Castaic, CA"
Los Angeles,Los Angeles,Bandini Trucks Terminal,3152 Bandini Blvd,323-266-6840,66,"3152 Bandini Blvd, Los Angeles, CA"
Los Angeles,Vernon,Vernon Truck Wash,3308 E Bandini,323-267-0706,7,"3308 E Bandini, Vernon, CA"
Los Angeles,Wilmington,Wilmington Truck Stop,P.O. Box 307,310-830-3388,10,"P.O. Box 307, Wilmington, CA"
Madera,Chowchilla,Ahmed's Exxon,18208 Avenue 24,559-665-4146,15,"18208 Avenue 24, Chowchilla, CA"
Madera,Madera,Pilot Travel Center #365,22717 Ave 18 1/2,559-673-3878,328,"22717 Ave 18 1/2, Madera, CA"
Mendocino,Ukiah,Jensen's Truck Stop,1460 Lovers Lane,707-462-7012,25,"1460 Lovers Lane, Ukiah, CA"
Merced,Los Banos,"San Luis Travel Plaza ""Petro""",28991 W. Gonzago Rd,209-827-8020,150,"28991 W. Gonzago Rd, Los Banos, CA"
Merced,Santa Nella,Pilot Travel Center,29025 W Plaza Dr,209-827-1399,75,"29025 W Plaza Dr, Santa Nella, CA"
Merced,Santa Nella,Rotten Robbie Truck/Auto Plaza,12860 S Hwy 33,209-826-4418,50,"12860 S Hwy 33, Santa Nella, CA"
Merced,Santa Nella,TA Santa Nella Travel Center,I-5 at Highway 33,209-826-0741,206,"I-5 at Highway 33, Santa Nella, CA"
Monterey,King City,Beacon Truck Stop 3005,50940 Mesa Verde Rd/P.O. Box 705,831-385-5993,40,"50940 Mesa Verde Rd/P.O. Box 705, King City, CA"
Monterey,Salinas,Pilot Travel Center,951 Work St,831-775-0380,75,"951 Work St, Salinas, CA"
Monterey,Salinas,Salinas Auto Truck Plaza,1020 Terven Ave,831-424-0875,23,"1020 Terven Ave, Salinas, CA"
Monterey,Salinas,Valley Truck Stop/Valley Weigh and Wash,721 Vertin Ave,831-754-1303,75,"721 Vertin Ave, Salinas, CA"
Placer,Emigrant Gap,Nyack Towing,P. O. Box 6,800-235-3611,40,"P. O. Box 6, Emigrant Gap, CA"
Plumas,Chilcoot,Hallelujah Junction General Store,753 Highway 70,530-993-0110,40,"753 Highway 70, Chilcoot, CA"
Riverside,Blythe,Southwest Express Travel Plaza,17970 W Hobson Way,760-922-5109,30,"17970 W Hobson Way, Blythe, CA"
Riverside,Coachella,Travel Centers of America,46155 Dillon Rd,760-342-6200,230,"46155 Dillon Rd, Coachella, CA"
Riverside,Indio,Clark's Auto Truck Stop,82253 Indio Blvd,760-342-4776,5,"82253 Indio Blvd, Indio, CA"
Riverside,Thousand Palms,Flying J Fuel Stop,72235 Varner Rd,760-343-1500,88,"72235 Varner Rd, Thousand Palms, CA"
Sacramento,Sacramento,Dhami Truck Plaza,7891 Stockton Blvd,916-689-9080,42,"7891 Stockton Blvd, Sacramento, CA"
Sacramento,Sacramento,Sacramento 49er Travel Plaza,2828 El Centro Rd,916-927-4774,227,"2828 El Centro Rd, Sacramento, CA"
San Bernardino,Barstow,Burns Bros. Travel Stop,2191 West Main St,760-256-5642,100,"2191 West Main St, Barstow, CA"
San Bernardino,Barstow,Flying J Travel Plaza,2611 Fisher Blvd,760-253-7043,177,"2611 Fisher Blvd, Barstow, CA"
San Bernardino,Barstow,Heartland Truck Stop,2250 W Main,760-256-5669,80,"2250 W Main, Barstow, CA"
San Bernardino,Barstow,Pilot Travel Center #282,2591 Commerce Parkway,760-253-2861,23,"2591 Commerce Parkway, Barstow, CA"
San Bernardino,Barstow,Rip Griffin's Travel Center,2930 Lenwood Rd,619-253-2922,350,"2930 Lenwood Rd, Barstow, CA"
San Bernardino,Colton,Beacon Truck Stop,2300 Steel Rd,909-825-5190,60,"2300 Steel Rd, Colton, CA"
San Bernardino,Colton,Valley-Colton Truck Stop,791 E Valley Blvd,909-824-1296,12,"791 E Valley Blvd, Colton, CA"
San Bernardino,Fontana,3 Sisters Truck Stop,14416 Slover Ave,909-822-4415,55,"14416 Slover Ave, Fontana, CA"
San Bernardino,Fontana,Truck Town Truck Stop,10238 Cherry Ave,909-823-0635,250,"10238 Cherry Ave, Fontana, CA"
San Bernardino,Hesperia,Pilot Travel Center,8701 Highway 395,760-956-2844,225,"8701 Highway 395, Hesperia, CA"
San Bernardino,Kramer Junction,Pilot Travel Center,5725 Highway 58,760-762-0041,49,"5725 Highway 58, Kramer Junction, CA"
San Bernardino,Ludlow,Ludlow Truck Stop,25635 Crucero Rd,760-733-4697,100,"25635 Crucero Rd, Ludlow, CA"
San Bernardino,Newberry Springs,Wesco Food & Fuel,48157 Memorial Dr/P.O. Box 540,760-257-3003,80,"48157 Memorial Dr/P.O. Box 540, Newberry Springs, CA"
San Bernardino,Ontario,Ontario West Travel Center,4265 East Guasti Road,909-390-2525,380,"4265 East Guasti Road, Ontario, CA"
San Bernardino,Ontario East,Ontario East Travel Center,4325 Guasti Road,909-390-7800,400,"4325 Guasti Road, Ontario East, CA"
San Bernardino,Rialto,I-10 Truck Stop,195 E. Valley Blvd,909-877-1171,50,"195 E. Valley Blvd, Rialto, CA"
San Bernardino,Yermo,Ghost Town Mini-Mart,P.O Box 1420,760-254-2843,60,"P.O Box 1420, Yermo, CA"
San Bernardino,Yermo,Vegas Truck Stop,35680 Daggett Yermo Rd,760-254-2119,30,"35680 Daggett Yermo Rd, Yermo, CA"
San Diego,Alpine,Tavern Road Texaco,1140 Tavern Rd,619-445-5118,6,"1140 Tavern Rd, Alpine, CA"
San Diego,Campo,Golden Acorn Casino & Travel,1800 Golden Acorn Way,619-938-6000,,"1800 Golden Acorn Way, Campo, CA"
San Diego,National City,So Cal Truck Stop,2250 Tidelands Ave,619-336-6103,,"2250 Tidelands Ave, National City, CA"
San Diego,San Diego,Pilot Travel Center,1497 Piper Ranch Rd,619-661-9558,24,"1497 Piper Ranch Rd, San Diego, CA"
San Diego,San Ysidro,Otay Truck Stop,8490 Avenida de la Fuente #3,619-661-1888,15,"8490 Avenida de la Fuente #3, San Ysidro, CA"
San Joaquin,Acampo,Jahant Food & Fuel,24323 N Highway 99,209-333-6000,25,"24323 N Highway 99, Acampo, CA"
San Joaquin,Lathrop,Joe's Travel Plaza,15600 S. Harlan Rd,209-982-0370,2,"15600 S. Harlan Rd, Lathrop, CA"
San Joaquin,Lodi,3 B's Truck/Auto Plaza,14749 N Thornton Rd,209-368-8100,12,"14749 N Thornton Rd, Lodi, CA"
San Joaquin,Ripon,Flying J Travel Plaza,1501 N. Jack Tone Rd,209-599-4141,176,"1501 N. Jack Tone Rd, Ripon, CA"
San Joaquin,Ripon,Jimco Truck Plaza,1022 Frontage Rd,209-599-2111,30,"1022 Frontage Rd, Ripon, CA"
San Joaquin,Stockton,Joes's Travel Plaza,15600 S Harlan Rd,209-982-0370,2,"15600 S Harlan Rd, Stockton, CA"
San Joaquin,Stockton,Vanco Truck & Auto Plaza,1033 W Charter Way,209-466-0833,45,"1033 W Charter Way, Stockton, CA"
San Joaquin,Tracy,Country Mart Diesel & Gas,34243 S Chrisman Rd,925-736-4922,22,"34243 S Chrisman Rd, Tracy, CA"
San Luis Obispo,Paso Robles,Golden Hill Country Store,2400 Goldenhill Rd,805-239-2190,3,"2400 Goldenhill Rd, Paso Robles, CA"
San Luis Obispo,Paso Robles,San-Paso Truck & Auto,P. O. Box 180,805-238-7042,100,"P. O. Box 180, Paso Robles, CA"
San Mateo,South San Francisco,Golden Gate Petroleum/Shell,114 Harbor Way,650-737-9675,10,"114 Harbor Way, South San Francisco, CA"
Santa Barbara,Paso Robles,San Paso Truck Stop,81 Wellsona Rd,805-467-9999,100+,"81 Wellsona Rd, Paso Robles, CA"
Santa Barbara,Santa Maria,The Fuel Connection,P.O. Box 707,805-925-3664,50,"P.O. Box 707, Santa Maria, CA"
Shasta,Burney,Rocky Lodge Shell,38389 Highway 299 E,530-335-2400,80,"38389 Highway 299 E, Burney, CA"
Shasta,Redding,Redding Travel Center,19483 Knighton Rd,530-221-4760,250,"19483 Knighton Rd, Redding, CA"
Solano,Suisun City,Terminal Station,100 Suisun Valley Rd,707-864-0231,350,"100 Suisun Valley Rd, Suisun City, CA"
Sonoma,Petaluma,Rinehart's Petaluma Truck Stop,2645 Petaluma Blvd S,707-763-8375,30,"2645 Petaluma Blvd S, Petaluma, CA"
Stanislaus,Westley,Westley Triangle Truck Stop,"7051 S McCracken Rd, P.O. Box 306",209-894-3000,100,"7051 S McCracken Rd, P.O. Box 306, Westley, CA"
Tehama,Corning,Burns Bros. Olive City Trk Plaza,3524 State Hwy 99 W,530-824-4646,350,"3524 State Hwy 99 W, Corning, CA"
Tehama,Corning,Petro Stopping Center #9,2151 South Ave,530-824-4685,120,"2151 South Ave, Corning, CA"
Tulare,Pixley,Bob's Auto And Ts,444 East Court St,559-757-3360,25,"444 East Court St, Pixley, CA"
Tulare,Pixley,USA Petroleum #217,415 N Park St,559-757-3044,6,"415 N Park St, Pixley, CA"
Tulare,Porterville,Truckers Mini Mart,943 W Westfield & Hwy 65,559-783-8755,20,"943 W Westfield & Hwy 65, Porterville, CA"
Tulare,Tulare,C. Roche Truck Stop,1120 E Paige Ave,559-686-5837,80,"1120 E Paige Ave, Tulare, CA"
Ventura,Oxnard,Macvalley Oil Company,100 Del Norte Blvd,805-485-6900,5,"100 Del Norte Blvd, Oxnard, CA"
Ventura,Ventura,Dave's Truck Stop,P.O. Box 5300,805-642-1514,4,"P.O. Box 5300, Ventura, CA"
Ventura,Ventura,United Oil Co.,6417 Ventura Blvd,805-644-5389,30,"6417 Ventura Blvd, Ventura, CA"
Yolo,Dunnigan,Beacon Truck Stop,29770 County Rd 8,530-724-3477,50,"29770 County Rd 8, Dunnigan, CA"
Yolo,Dunnigan,Pilot Travel Center,P.O. Box 103,530-724-3060,150,"P.O. Box 103, Dunnigan, CA"
Yolo,W. Sacramento,Epoch Exxon Truck Stop,4790 W Capitol Ave,916-371-0454,22,"4790 W Capitol Ave, W. Sacramento, CA"
